"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","0","W00","World","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66020263","false","-1","N/A",,"false","66020263","false",,"false","34595634",,"34595634","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","100","BGR","Bulgaria","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","153220","false","-1","N/A",,"false","153220","false",,"false","70408",,"70408","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","191","HRV","Croatia","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15469412","false","-1","N/A",,"false","15469412","false",,"false","8220939",,"8220939","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","203","CZE","Czechia","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","400","false","-1","N/A",,"false","400","false",,"false","8718",,"8718","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","251","FRA","France","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4692175","false","-1","N/A",,"false","4692175","false",,"false","2441220",,"2441220","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","390","false","-1","N/A",,"false","390","false",,"false","1299",,"1299","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","300","GRC","Greece","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21813656","false","-1","N/A",,"false","21813656","false",,"false","11930654",,"11930654","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12766155","false","-1","N/A",,"false","12766155","false",,"false","6218102",,"6218102","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","434","LBY","Libya","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1141655","false","-1","N/A",,"false","1141655","false",,"false","503716",,"503716","0","true","false",
"C","A","20050101","2005","52","2005","8","ALB","Albania","M","Import","642","ROU","Romania","0","W00","World","H2","HS","true","2711","Petroleum gases and other gaseous hydrocarbons","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","168850","false","-1","N/A",,"false","168850","false",,"false","71324",,"71324","0","true","false",
